rank_1_c,1,4,6,7,3,3,5,1,7,0,1,3,2,3,1,0,0,2,2,2,2,1,2,4,1
rank_2_c,11,16,11,7,3,3,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_3_c,24,25,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_4_c,31,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_5_c,47,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_1_w,0,5,5,5,4,4,5,3,7,4,3,3,3,1,1,1,0,1,2,1,1,1,1,3,1
rank_2_w,10,11,17,14,6,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_3_w,15,22,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_4_w,32,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rank_5_w,45,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
